id,date,time,user_raw,venue_raw,venue_norm,purpose,headcount,amount,per_person,method,year_month,hour,flags
2025-12-33-f3c593,2025-12-23,18:04:50,의장,박가네 고깃관,박가네고깃관,민원 및 현안 관련 유관단체 관계자 간담회,15,284000,18933.333333333332,카드,2025-12,18,
2025-12-34-c4b60e,2025-12-24,12:20:17,복지건설위원장,고기여행,고기여행,현안업무 추진 사무국 직원 격려 간담회,11,167000,15181.818181818182,카드,2025-12,12,
2025-12-35-cfe730,2025-12-24,12:28:06,복지건설위원장,카페 상상,카페상상,현안 관련 관계자 간담회,6,19600,3266.6666666666665,카드,2025-12,12,
2025-12-36-0b2585,2025-12-24,12:28:27,행정기획위원장,경북칼국수,경북칼국수,현안 관련 관계자 간담회,3,41000,13666.666666666666,카드,2025-12,12,
2025-12-37-62c940,2025-12-24,19:30:56,행정기획위원장,가마치통닭 장안휘경,가마치통닭장안휘경,현안 관련 관계자 간담회,22,275500,12522.727272727272,카드,2025-12,19,
2025-12-38-f93d5c,2025-12-24,20:35:47,의장,더벤티 장한평역점,더벤티장한평역점,민원 및 현안 관련 관계자 간담회,5,13500,2700,카드,2025-12,20,
2025-12-39-6f2a66,2025-12-24,21:38:15,의장,일번지푸드(주),일번지푸드(주),현안 관련 관계자 간담회,9,190000,21111.11111111111,카드,2025-12,21,
2025-12-40-f70353,2025-12-26,15:51:08,부의장,역전숯불바베큐,역전숯불바베큐,현안 관련 관계자 간담회,,120000,,카드,2025-12,15,headcount_missing
2025-12-41-71ef55,2025-12-26,15:53:00,부의장,역전숯불바베큐,역전숯불바베큐,,6,1000,166.66666666666666,카드,2025-12,15,purpose_corrupt
2025-12-42-5ac295,2025-12-26,17:12:56,부의장,솔낭구,솔낭구,현안 관련 유관기관 관계자 간담회,15,358000,23866.666666666668,카드,2025-12,17,
2025-12-43-407ca5,2025-12-26,19:39:01,행정기획위원장,대왕도숯불갈비,대왕도숯불갈비,현안 관련 관계자 간담회,10,202000,20200,카드,2025-12,19,
2026-01-1-d185a3,2026-01-02,11:35:16,의장,나누리 흑염소 전문,나누리흑염소전문,민원 및 현안 관련 유관단체 관계자 간담회,5,118200,23640,카드,2026-01,11,
2026-01-2-7b4345,2026-01-02,12:38:07,복지건설위원장,동강오리,동강오리,민원 및 현안 관련 유관기관 관계자 간담회,2,35000,17500,카드,2026-01,12,
2026-01-3-6b10d1,2026-01-02,19:13:38,복지건설위원장,흥부골숯불돼지갈비,흥부골숯불돼지갈비,민원 및 현안 관련 유관기관 관계자 간담회,5,158000,31600,카드,2026-01,19,
2026-01-4-70a3ba,2026-01-05,13:02:22,의장,북배산흑염소요리,북배산흑염소요리,민원 및 현안 관련 유관단체 관계자 간담회,4,125000,31250,카드,2026-01,13,
2026-01-5-131910,2026-01-05,18:30:26,의장,솔낭구,솔낭구,민원 및 현안 관련 관계자 간담회,9,282000,31333.333333333332,카드,2026-01,18,
2026-01-6-de3ee8,2026-01-05,13:28:57,운영위원장,용두동쭈꾸미,용두동쭈꾸미,민원 및 현안 관련 유관단체 관계자 간담회,4,90000,22500,카드,2026-01,13,
2026-01-7-3a6f1f,2026-01-06,12:36:45,의장,최강낙지,최강낙지,현안 관련 관계자 간담회,6,151000,25166.666666666668,카드,2026-01,12,
2026-01-8-5df89b,2026-01-06,19:23:00,의장,유미찌개마당,유미찌개마당,현안 관련 관계자 간담회,11,150000,13636.363636363636,카드,2026-01,19,
2026-01-9-3935fd,2026-01-06,13:37:35,부의장,1(2) 한가로이,1(2)한가로이,의회현안업무 논의에 따른 관계자 간담회,2,28500,14250,카드,2026-01,13,
2026-01-10-c5f2ba,2026-01-06,22:12:09,부의장,씨마트,씨마트,현안 관련 유관기관 관계자 간담회,4,112000,28000,카드,2026-01,22,
2026-01-11-4583f9,2026-01-06,19:30:28,운영위원장,우리돈,우리돈,현안 관련 관계자 간담회,8,370000,46250,카드,2026-01,19,
2026-01-12-91cd72,2026-01-06,12:18:35,복지건설위원장,할머니홍어집,할머니홍어집,현안 관련 관계자 간담회,6,190000,31666.666666666668,카드,2026-01,12,
2026-01-13-5ca6f1,2026-01-07,18:13:48,의장,동호일식,동호일식,민원 및 현안 관련 관계자 간담회,7,286000,40857.142857142855,카드,2026-01,18,
2026-01-14-05718b,2026-01-07,20:10:26,운영위원장,이대헌 스시,이대헌스시,민원 및 현안 관련 유관단체 관계자 간담회,7,311000,44428.57142857143,카드,2026-01,20,
2026-01-15-773b6e,2026-01-07,19:37:09,복지건설위원장,동강오리,동강오리,지역 현안 관련 유관기관 관계자 간담회,3,100000,33333.333333333336,카드,2026-01,19,
2026-01-16-5a769f,2026-01-08,19:58:11,의장,제일유통,제일유통,현안 관련 관계자 간담회,5,140000,28000,카드,2026-01,19,
2026-01-17-b8f623,2026-01-09,13:33:17,부의장,용두동복집,용두동복집,현안 관련 관계자 간담회,5,219000,43800,카드,2026-01,13,
2026-01-18-a4f368,2026-01-09,21:53:04,운영위원장,용두포구,용두포구,현안 관련 관계자 간담회,3,138000,46000,카드,2026-01,21,
2026-01-19-9a6d7b,2026-01-09,19:45:09,복지건설위원장,오리명가,오리명가,현안 관련 관계자 간담회,8,240000,30000,카드,2026-01,19,
2026-01-20-985f23,2026-01-12,12:08:30,의장,나누리 흑염소 전문,나누리흑염소전문,현안업무 추진 사무국 직원 격려 간담회,4,69400,17350,카드,2026-01,12,
2026-01-21-c4a15a,2026-01-12,19:04:45,의장,경성농장,경성농장,민원 및 현안 관련 유관단체 관계자 간담회,14,294000,21000,카드,2026-01,19,
2026-01-22-3965f4,2026-01-12,12:36:30,운영위원장,더테이블,더테이블,현안 관련 관계자 간담회,7,277500,39642.857142857145,카드,2026-01,12,
2026-01-23-5b09e1,2026-01-13,19:12:15,의장,조영환의 대양한방숯,조영환의대양한방숯,현안 관련 관계자 간담회,18,302000,16777.777777777777,카드,2026-01,19,
2026-01-24-3fa898,2026-01-13,22:50:05,부의장,또바기치킨,또바기치킨,민원 및 현안 관련 관계자 간담회,8,90000,11250,카드,2026-01,22,
2026-01-25-45ce39,2026-01-13,13:00:01,운영위원장,(주)태성푸드,(주)태성푸드,민원 및 현안 관련 유관단체 관계자 간담회,4,81000,20250,카드,2026-01,13,
2026-01-26-3da071,2026-01-13,19:14:34,운영위원장,롯데백화점(주)청량,롯데백화점(주)청량,현안 관련 관계자 간담회,5,248000,49600,카드,2026-01,19,
2026-01-27-7779e9,2026-01-13,12:44:28,복지건설위원장,최강낙지,최강낙지,현안 관련 유관기관 관계자 간담회,3,94000,31333.333333333332,카드,2026-01,12,
